Analysis Type:;PANTHER Overrepresentation Test (Released 20171205);;;;;;
Annotation Version and Release Date:;PANTHER version 13.1 Released 2018-02-03;;;;;;
Analyzed List:;Client Text Box Input (Homo sapiens);;;;;;
Reference List:;Homo sapiens (all genes in database);;;;;;
Test Type:;FISHER;;;;;;
PANTHER GO-Slim Biological Process;Homo sapiens - REFLIST (21042);Client Text Box Input (339);Client Text Box Input (expected);Client Text Box Input (over/under);Client Text Box Input (fold Enrichment);Client Text Box Input (raw P-value);Client Text Box Input (FDR)
glycolysis (GO:0006096);28;7;.45;+;15.52;1.09E-06;1.89E-05
rRNA metabolic process (GO:0016072);113;22;1.82;+;12.08;2.72E-16;1.66E-14
gluconeogenesis (GO:0006094);23;4;.37;+;10.79;8.17E-04;6.43E-03
translation (GO:0006412);198;34;3.19;+;10.66;5.24E-23;1.28E-20
protein folding (GO:0006457);94;13;1.51;+;8.58;1.51E-08;3.69E-07
chromatin remodeling (GO:0006338);34;4;.55;+;7.30;3.00E-03;1.83E-02
purine nucleobase metabolic process (GO:0006144);57;6;.92;+;6.53;4.83E-04;4.06E-03
fatty acid biosynthetic process (GO:0006633);59;6;.95;+;6.31;5.72E-04;4.65E-03
mitochondrion organization (GO:0007005);92;9;1.48;+;6.07;3.31E-05;4.48E-04
RNA localization (GO:0006403);85;6;1.37;+;4.38;3.27E-03;1.95E-02
monosaccharide metabolic process (GO:0005996);76;5;1.22;+;4.08;9.34E-03;4.65E-02
nuclear transport (GO:0051169);123;8;1.98;+;4.04;1.18E-03;8.44E-03
coenzyme metabolic process (GO:0006732);112;7;1.80;+;3.88;2.92E-03;1.82E-02
chromatin organization (GO:0006325);273;17;4.40;+;3.87;4.29E-06;6.54E-05
cellular component biogenesis (GO:0044085);776;48;12.50;+;3.84;5.93E-15;2.90E-13
RNA splicing, via transesterification reactions (GO:0000375);156;9;2.51;+;3.58;1.31E-03;8.89E-03
mRNA processing (GO:0006397);244;14;3.93;+;3.56;6.97E-05;7.39E-04
cellular amino acid metabolic process (GO:0006520);230;13;3.71;+;3.51;1.45E-04;1.41E-03
mRNA splicing, via spliceosome (GO:0000398);178;10;2.87;+;3.49;8.71E-04;6.64E-03
generation of precursor metabolites and energy (GO:0006091);171;8;2.75;+;2.90;7.92E-03;4.30E-02
organelle organization (GO:0006996);1212;51;19.53;+;2.61;7.23E-10;1.96E-08
RNA metabolic process (GO:0016070);1570;66;25.29;+;2.61;1.40E-12;4.27E-11
cellular component organization or biogenesis (GO:0071840);2099;88;33.82;+;2.60;8.87E-17;7.22E-15
DNA metabolic process (GO:0006259);391;14;6.30;+;2.22;6.97E-03;3.96E-02
protein metabolic process (GO:0019538);1583;56;25.50;+;2.20;4.40E-08;9.77E-07
nucleobase-containing compound metabolic process (GO:0006139);2797;97;45.06;+;2.15;2.57E-13;8.95E-12
biosynthetic process (GO:0009058);1745;58;28.11;+;2.06;1.91E-07;3.58E-06
primary metabolic process (GO:0044238);4753;150;76.57;+;1.96;2.35E-18;2.87E-16
nitrogen compound metabolic process (GO:0006807);2524;76;40.66;+;1.87;9.10E-08;1.85E-06
cellular component organization (GO:0016043);1964;59;31.64;+;1.86;5.28E-06;7.57E-05
metabolic process (GO:0008152);5878;162;94.70;+;1.71;1.79E-14;7.29E-13
cellular process (GO:0009987);8247;167;132.86;+;1.26;2.09E-04;1.96E-03
Unclassified (UNCLASSIFIED);10206;131;164.43;-;.80;3.56E-04;3.22E-03
response to stimulus (GO:0050896);2677;24;43.13;-;.56;1.24E-03;8.66E-03
regulation of biological process (GO:0050789);2463;20;39.68;-;.50;4.35E-04;3.79E-03
developmental process (GO:0032502);1501;12;24.18;-;.50;7.40E-03;4.11E-02
biological regulation (GO:0065007);2985;23;48.09;-;.48;3.69E-05;4.74E-04
signal transduction (GO:0007165);2318;16;37.34;-;.43;6.87E-05;7.62E-04
intracellular signal transduction (GO:0035556);1071;7;17.25;-;.41;8.12E-03;4.13E-02
cell communication (GO:0007154);2686;17;43.27;-;.39;3.21E-06;5.21E-05
neurological system process (GO:0050877);924;5;14.89;-;.34;6.52E-03;3.79E-02
single-multicellular organism process (GO:0044707);1665;9;26.82;-;.34;8.95E-05;9.10E-04
multicellular organismal process (GO:0032501);1684;9;27.13;-;.33;6.47E-05;7.51E-04
system process (GO:0003008);1020;5;16.43;-;.30;1.85E-03;1.22E-02
cell surface receptor signaling pathway (GO:0007166);1206;4;19.43;-;.21;4.17E-05;5.09E-04
G-protein coupled receptor signaling pathway (GO:0007186);456;0;7.35;-; < 0.01;1.02E-03;7.55E-03
sensory perception (GO:0007600);424;0;6.83;-; < 0.01;2.36E-03;1.52E-02
cell adhesion (GO:0007155);356;0;5.74;-; < 0.01;7.94E-03;4.21E-02
biological adhesion (GO:0022610);356;0;5.74;-; < 0.01;7.94E-03;4.12E-02
