,Accession,Abundance Ratio: (Heavy) / (Light)
383,Q6UB35,0.01
355,P05109,0.01
354,Q9NZT1,0.01
353,Q8N3K9,0.01
352,P09914,0.01
351,P35030,0.01
350,Q86SJ6,0.01
349,P07384,0.01
348,Q96M98,0.01
347,Q15517,0.01
346,Q08554,0.01
356,P04406,0.01
345,A4D1P6,0.01
343,A0JLT2,0.01
342,A4UGR9,0.01
341,P05388,0.01
340,Q9Y285,0.01
339,P31944,0.01
338,P25789,0.01
337,P19525,0.01
336,Q96HA1,0.01
335,O43592,0.01
334,Q9UII4,0.01
344,P18669,0.01
357,Q6IQ22,0.01
382,P14923,0.01
359,P31939,0.01
381,P43243,0.01
380,Q86TJ2,0.01
379,Q96P63,0.01
378,Q16637,0.01
377,Q02539,0.01
376,Q69YH5,0.01
375,Q86TY3,0.01
374,P56545,0.01
373,Q5T749,0.01
372,P26639,0.01
371,P67809,0.01
358,Q02413,0.01
369,P81605,0.01
360,P47929,0.01
361,Q13427,0.01
362,Q9NR09,0.01
363,Q14103,0.01
370,P29401,0.01
365,Q9UFW8,0.01
366,P84550,0.01
367,Q9HB58,0.01
368,Q3ZCQ8,0.01
364,P42704,0.01
333,P35908,0.036
332,P35527,0.044
331,P42224,0.067
330,Q13162,0.174
329,Q5T280,0.224
328,P53999,0.368
327,P32119,0.39
326,Q5VTL8,0.405
325,Q9Y383,0.415
324,P16403,0.443
323,O75683,0.445
322,Q8WXA9,0.495
321,P17181,0.504
320,Q9UI10,0.508
319,P06733,0.509
318,O60343,0.515
317,Q14498,0.518
316,Q8IYB3,0.522
315,O95478,0.534
314,Q9GZR7,0.538
313,Q9BRL6,0.541
312,Q9H9J4,0.545
311,P11177,0.551
310,P22234,0.557
309,P09429,0.564
308,P61978,0.565
307,Q8ND82,0.565
306,Q9BQE3,0.571
305,P53396,0.573
304,P0DN76,0.574
303,P07305,0.579
302,Q03701,0.582
301,Q9UKJ3,0.584
300,O15042,0.585
299,Q9UQ35,0.589
298,Q66PJ3,0.595
297,P61221,0.598
296,Q9NR30,0.6
295,P07195,0.602
294,P18583,0.608
293,O95232,0.613
292,P34932,0.617
288,P50991,0.62
291,P00558,0.62
290,Q6IQ21,0.62
289,P62273,0.62
287,P08708,0.623
286,Q8N9E0,0.629
285,Q14684,0.63
284,O60264,0.631
283,P36578,0.633
282,O94813,0.635
281,P60866,0.636
280,P07910,0.648
279,Q9NWT8,0.648
278,P26599,0.65
277,Q9BYG3,0.651
276,P0DMV8,0.652
275,Q9NX24,0.654
274,O75533,0.655
273,P05114,0.659
272,Q92598,0.66
270,Q13428,0.663
271,P50914,0.663
269,P06748,0.664
268,P12277,0.666
267,Q9Y3C1,0.666
266,Q7Z6E9,0.668
265,Q5JTH9,0.67
264,Q7L7X3,0.671
263,Q9UBL6,0.673
262,Q13523,0.674
261,Q5VWG9,0.674
260,Q6DKI1,0.675
259,Q92522,0.676
258,P04908,0.677
257,P15880,0.678
256,Q99848,0.679
255,O00567,0.681
254,Q96ME7,0.682
253,P11142,0.684
252,P62266,0.685
251,P18077,0.686
250,P39023,0.686
249,Q14204,0.687
248,P46013,0.688
247,O60281,0.691
246,Q96EY4,0.692
245,Q8IV32,0.693
244,P11586,0.696
243,P47914,0.696
242,P22314,0.697
